DATE,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD
2015.11.09,1090.33,1095.59,1088.31,1091.95,90911,61816823,24
2015.11.10,1092.27,1094.79,1085.22,1089.60,78402,53572570,24
2015.11.11,1089.88,1093.58,1083.63,1085.84,81301,55593287,24
2015.11.12,1086.50,1089.52,1074.08,1084.90,100179,66398338,24
2015.11.13,1085.00,1088.54,1079.57,1083.54,112851,75949073,24
2015.11.16,1088.11,1098.01,1081.06,1082.68,110988,78436750,24
2015.11.17,1083.85,1085.01,1065.44,1070.06,107652,75365154,24
2015.11.18,1071.57,1075.39,1064.64,1070.87,113223,75616756,24
2015.11.19,1071.57,1087.38,1069.46,1082.04,113813,75828291,24
2015.11.20,1081.90,1088.01,1075.76,1077.98,109573,82581759,24
2015.11.23,1076.15,1076.65,1066.62,1068.92,112286,76616244,24
2015.11.24,1069.07,1081.01,1068.93,1075.31,104757,68919866,24
2015.11.25,1075.69,1080.74,1067.83,1071.10,83010,54311273,24
2015.11.26,1071.18,1074.80,1069.60,1071.65,49265,30767997,24
2015.11.27,1071.76,1073.73,1052.67,1058.04,75931,54356067,24
2015.11.30,1058.29,1069.68,1053.13,1064.37,87131,53126700,24
2015.12.01,1064.81,1074.58,1063.18,1069.24,88831,59203998,24
2015.12.02,1068.87,1071.36,1050.58,1053.49,96810,67447317,24
2015.12.03,1053.84,1065.39,1046.23,1062.10,134210,84376567,24
2015.12.04,1063.35,1088.78,1058.07,1086.76,144622,91121606,24
2015.12.07,1084.82,1086.55,1066.11,1070.76,131150,84289047,24
2015.12.08,1070.96,1079.03,1067.57,1074.52,125801,80153084,24
2015.12.09,1074.53,1085.30,1069.29,1072.67,125041,87266618,24
2015.12.10,1072.20,1076.42,1069.35,1071.21,116928,76769091,24
2015.12.11,1071.75,1079.53,1062.36,1074.66,129556,91039718,24
2015.12.14,1073.72,1077.48,1058.53,1060.12,112737,77040980,24
2015.12.15,1061.16,1068.60,1058.89,1060.80,111635,69136685,24
2015.12.16,1061.21,1078.27,1060.83,1072.18,108314,64029948,24
2015.12.17,1071.97,1072.84,1047.58,1051.55,117110,77547248,24
2015.12.18,1050.92,1071.49,1050.84,1065.85,103210,70498922,24
2015.12.21,1066.16,1081.71,1063.91,1078.28,101161,65433090,24
2015.12.22,1078.06,1080.69,1071.69,1072.60,88689,57077564,24
2015.12.23,1072.87,1075.43,1068.26,1070.20,74958,50041021,24
2015.12.24,1070.36,1076.74,1070.02,1076.05,56102,32746707,24
2015.12.28,1075.86,1076.86,1066.37,1068.90,87797,61608517,24
2015.12.29,1068.80,1075.17,1067.43,1068.62,92881,55106529,24
2015.12.30,1069.01,1072.01,1059.33,1061.08,63758,42273974,0
2015.12.31,1061.37,1063.46,1058.13,1060.91,65469,41647211,24
2016.01.04,1064.88,1083.44,1061.66,1074.43,146168,84194847,24
2016.01.05,1073.15,1081.90,1072.56,1078.07,124692,73250314,24
